contentId,id,addr1,addr2
25057,2746562,충청북도 영동군 ,충청북도 영동군 양산면
25058,2746573,충청북도 충주시 ,충청북도 충주시 앙성면
25059,2746584,강원도 삼척시 ,강원도 삼척시 미로면
25060,2746599,경기도 파주시 ,경기도 파주시 월롱면
25061,2746651,경기도 파주시 ,경기도 파주시 지목로
25062,2746665,경기도 용인시 ,경기도 용인시 처인구
25063,2746678,경기도 파주시 ,경기도 파주시 산내로104번길
25064,2746684,경기도 용인시 ,경기도 용인시 기흥구
25065,2746691,경기도 용인시 ,경기도 용인시 처인구
25066,2746693,경기도 파주시 ,경기도 파주시 송학말길
25067,2746695,경기도 용인시 ,경기도 용인시 기흥구
25068,2746700,경기도 용인시 ,경기도 용인시 처인구
25069,2746702,경기도 파주시 ,경기도 파주시 탄현면
25070,2746703,경기도 파주시 ,경기도 파주시 광탄면
25071,2746709,경기도 파주시 ,경기도 파주시 탄현면
25072,2746930,거창군 신원면 ,거창군 신원면 덕산리
25073,2746936,충청남도 태안군 ,충청남도 태안군 원북면
25074,2746937,강원도 동해시 ,강원도 동해시 쉬눔길
25075,2746941,경기도 파주시 ,경기도 파주시 문산읍
25076,2746945,충청남도 태안군 ,충청남도 태안군 원북면
25077,2746947,강원도 춘천시 ,강원도 춘천시 남산면
25078,2746949,경기도 평택시 ,경기도 평택시 청북읍
25079,2746951,충청북도 영동군 ,충청북도 영동군 상촌면
25080,2746953,경기도 양평군 ,경기도 양평군 용문면
25081,2746958,충청북도 제천시 ,충청북도 제천시 봉양읍
25082,2746967,경상남도 거제시 ,경상남도 거제시 동부면
25083,2746970,경상남도 밀양시 ,경상남도 밀양시 용평로5길
25084,2746971,충청북도 제천시 ,충청북도 제천시 봉양읍
25085,2746977,충청북도 청주시 ,충청북도 청주시 청원구
25086,2746979,경상북도 문경시 ,경상북도 문경시 마성면
25087,2746985,경기도 광주시 ,경기도 광주시 오포읍
25088,2746997,경기도 광주시 ,경기도 광주시 남한산성면
25089,2747008,경기도 광주시 ,경기도 광주시 곤지암읍
25090,2747014,경기도 광주시 ,경기도 광주시 곤지암읍
25091,2747018,전라남도 함평군 ,전라남도 함평군 함평읍
25092,2747020,경기도 광주시 ,경기도 광주시 곤지암읍
25093,2747024,경기도 가평군 ,경기도 가평군 상면
25094,2747025,경기도 광주시 ,경기도 광주시 오포읍
25095,2747027,경상남도 남해군 ,경상남도 남해군 남면
25096,2747029,경기도 광주시 ,경기도 광주시 퇴촌면
25097,2747032,경기도 광주시 ,경기도 광주시 퇴촌면
25098,2747033,경상남도 남해군 ,경상남도 남해군 상주면
25099,2747041,전라남도 장성군 ,전라남도 장성군 북하면
25100,2747042,경기도 평택시 ,경기도 평택시 비전9길
25101,2747043,충청북도 제천시 ,충청북도 제천시 청풍면
25102,2747044,전라남도 해남군 ,전라남도 해남군 송지면
25103,2747045,경기도 평택시 ,경기도 평택시 신대동
25104,2747046,전라북도 무주군 ,전라북도 무주군 설천면
25105,2747049,경기도 평택시 ,경기도 평택시 안중읍
