accommodation_id, accommodation_name,accommodation_type,accommodation_addr,accommodation_score,accommodation_img, accommodation_price,accommodation_lat,accommodation_lng
125406,호텔아젤리아 (비슬산유스호스텔),호텔,비슬산자연휴양림 앞,9.5,https://image.goodchoice.kr/resize_1000X500x0/affiliate/2017/12/07/5a2885457badc.jpg,숙박 다른날짜 확인,35.692198667806,128.50609917505
id,accommodation_name,accommodation_type,accommodation_addr,accommodation_score,accommodation_pic,accommodation_price,accommodation_lat,accommodation_lng
125407,문경 스테이201 호텔,모텔,경북 문경시 흥덕동,9.5,https://image.goodchoice.kr/resize_1000X500x0/adimg_new/74197/507071/8d515c7fd3dbfa8a3e5ecb718faf1390.jpg,"숙박 60,000원",36.600015044772,128.20187477375
125407,문경 STX 호텔&리조트,호텔,쌍룡계곡 차량 3분,8.7,https://image.goodchoice.kr/resize_1000X500x0/affiliate/2018/01/09/5a5427a8cf56f.jpg,숙박 다른날짜 확인,36.5690632769,127.9643680773
125407,호미인문경1,펜션,문경새재도립공원 차량 10분,8.3,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"130,000원",36.657760033139,128.12920989612
125407,문경 산내음 펜션,펜션,쌍용계곡 도보 1분,10.0,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"150,000원",36.563438006614,127.96753713884
125407,문경 스위트호텔-SWEET HOTEL,모텔,경북 문경시 점촌동,9.6,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"숙박 70,000원",36.59482511,128.2025391
125407,경상문경청산펜션,펜션,경천호 차량 18분,-1,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"120,000원",36.778161381032,128.28575020159
125407,호미인문경2,펜션,문경새재도립공원 차량 10분,10.0,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"160,000원",36.655515933939,128.09659152386
125407,다락골초록원펜션,펜션,쌍룡계곡 차량 5분,-1,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"120,000원",36.547962180892,127.96391443746
125407,문경 더 폴라리스,펜션,경천호 차량 26분,9.9,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"300,000원",36.787236627127,128.2750833157
125407,문경그랜드리조트,호텔,문경새재도립공원 도보 6분,9.2,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"170,000원",36.760122890908,128.07401710956
125407,문경 W,모텔,경북 문경시 모전동,9.3,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"숙박 50,000원",36.58731283,128.1893315
125407,문경 더베스트,모텔,경북 문경시 문경읍 상초리,9.0,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"15시부터 입실
 숙박빠른입실예약 330,000원",36.759836206188,128.07815733683
125407,문경 아리랑,모텔,경북 문경시 문경읍 하리,9.2,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"숙박 60,000원",36.72859186,128.108997
125407,문경 E,모텔,경북 문경시 점촌동,8.9,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"숙박 40,000원",36.5975624952,128.20308678
125407,문경 가휴펜션,펜션,문경온천 차량 15분,9.8,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"290,000원",36.777418274772,128.14887681707
125407,라마다 문경새재,호텔,문경버스장 차량 10분,8.5,https://image.goodchoice.kr/images/web_v3/bg_trans.png,숙박 다른날짜 확인,36.7618321709,128.0778493049
125407,문경 샵 Sharp Motel 井号宾馆,모텔,경북 문경시 점촌동,8.6,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"15시부터 입실
 숙박빠른입실예약 60,000원",36.597633858761,128.203167343
125407,문경 텐,모텔,경북 문경시 점촌동,9.1,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"숙박 40,000원",36.59747498,128.2042565
125407,문경 여우펜션,펜션,하늘재 차량 12분,9.7,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"80,000원",36.797526272854,128.1885808396
125407,문경 소풍,모텔,경북 문경시 호계면 별암리,9.6,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"숙박 50,000원",36.64473206,128.1865864
125407,문경 추억만들기펜션,펜션,쌍용계곡 차량 3분,9.9,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"100,000원",36.561689375242,127.96954786557
125407,문경새재리조트,호텔,문경활공랜드 부근,8.7,https://image.goodchoice.kr/images/web_v3/bg_trans.png,판매 완료,36.738044027655,128.16022951727
125407,문경 젠틀펫 파라다이스,캠핑,경북 문경시 문경읍 진안리,8.6,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"남은 객실 1개
 140,000원",36.742322934386,128.08204740411
125407,문경 비밀정원 연휴,펜션,경천호 차량 28분,10.0,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"180,000원",36.78546323225,128.27566646998
125407,문경 아이리스,모텔,경북 문경시 공평동,9.2,https://image.goodchoice.kr/images/web_v3/bg_trans.png,숙박 판매완료,36.60708127,128.1679748
125407,문경 쌍용밸리하우스,펜션,문경에코랄라 차량 20분,9.8,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"100,000원",36.56515578906,127.96186975917
125407,문경 힐하우스펜션,펜션,쌍용계곡 도보 1분,9.9,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"95,000원",36.563340312924,127.96826021317
125407,문경 아모르 무인텔,모텔,경북 문경시 점촌동,9.5,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"숙박 70,000원",36.59702627,128.2040752
125407,점촌 퀸,모텔,경북 문경시 흥덕동,9.4,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"숙박 40,000원",36.599902731153,128.20369977513
125407,문경 더모스트 풀빌라,펜션,문경버스터미널 차량 3분,8.3,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"175,000원",36.731123977552,128.0959536684
125407,J&M 펜션,펜션,쌍룡계곡 차량 7뷴,9.1,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"230,000원",36.5811855982,127.9997317267
125407,문경 C,모텔,경북 문경시 점촌동,8.5,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"숙박 60,000원",36.59582291,128.2018841
125407,힐스카이,펜션,하늘재 차량 2분,9.7,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"390,000원",36.812906537028,128.1234881206
125407,문경 애플하우스펜션,펜션,조령산 차량 1분,9.1,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"190,000원",36.754089671095,128.07976018586
125407,문경 더모스트글램핑,캠핑,문경유교문화관 차량 5분,8.4,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"남은 객실 1개
 165,000원",36.731193966649,128.09613243359
125407,문경 아람펜션,펜션,문경새재 차량 30분,8.7,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"100,000원",36.731820691478,128.22322432225
125407,문경 팜스토리펜션,펜션,문경온천 차량 5분,8.9,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"150,000원",36.738814438975,128.12955817337
125407,문경 거기그곳에펜션,펜션,쌍룡계곡 차량 9분,8.6,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"90,000원",36.534769241252,127.9657845043
125407,문경관광호텔,호텔,문경새재도립공원 내,7.6,https://image.goodchoice.kr/images/web_v3/bg_trans.png,숙박 다른날짜 확인,36.760977566562,128.07828978292
125407,문경 가은에정원펜션,펜션,경북 문경시 가은읍 갈전리,8.5,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"180,000원",36.634352496472,128.07856179515
125407,문경 선유동펜션,펜션,경북 문경시 가은읍 완장리,8.5,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"170,000원",36.671491507639,127.98036423516
125407,문경 속리뜰펜션,펜션,용추계곡 차량 26분,10.0,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"130,000원",36.570844054149,127.97841172897
